# Compressor adiabatic efficiency map, argon rig. NASA TM X-2129 (1970) Figure 10.
# Source: user MANUAL WebPlotDigitizer reads (data/manual_digitize/), 2026-06-16 -
#   geometric marker-center digitization, axis-calibrated to the figure gridlines.
#   Supersedes the earlier Claude pixel reads (had a systematic flow-axis scale error);
#   regenerate via scripts/ingest_manual_digitize.py. Design dots used as axis sanity checks.
# speed_pct, We_lbps (equiv flow, lb/s), eff (eta_1-6)
speed_pct,We_lbps,eff
50,0.14877,0.75879
50,0.18666,0.82290
50,0.23795,0.82903
50,0.26602,0.78652
50,0.30984,0.62982
50,0.33558,0.39351
60,0.17430,0.74061
60,0.19833,0.77288
60,0.24673,0.81619
60,0.28389,0.82366
60,0.32435,0.78556
60,0.35056,0.72623
60,0.37821,0.60363
60,0.40301,0.44298
70,0.24385,0.77150
70,0.28957,0.81126
70,0.33031,0.82758
70,0.36252,0.81869
70,0.39720,0.77352
70,0.42549,0.68897
70,0.45144,0.58009
80,0.28803,0.76967
80,0.30493,0.79001
80,0.35281,0.82092
80,0.38732,0.82884
80,0.41600,0.81951
80,0.45119,0.78761
80,0.47919,0.73315
80,0.50397,0.65303
80,0.52925,0.50078
90,0.35702,0.78021
90,0.36948,0.79612
90,0.41602,0.82349
90,0.47170,0.82342
90,0.50211,0.80701
90,0.53244,0.77512
90,0.56001,0.72243
90,0.58561,0.63169
100,0.44374,0.80089
100,0.47166,0.81457
100,0.50925,0.82072
100,0.53930,0.82113
100,0.57192,0.80560
100,0.59174,0.79141
100,0.62249,0.75642
100,0.65123,0.67275
100,0.67313,0.54883
