# Compressor PR map, argon rig. NASA TM X-2129 (1970) Figure 8 (PR=P6/P1 vs equiv flow).
# Source: user MANUAL WebPlotDigitizer reads (data/manual_digitize/), 2026-06-16 -
#   geometric marker-center digitization, axis-calibrated to the figure gridlines.
#   Supersedes the earlier Claude pixel reads (had a systematic flow-axis scale error);
#   regenerate via scripts/ingest_manual_digitize.py. Design dots used as axis sanity checks.
# speed_pct, We_lbps (equiv flow W*sqrt(theta)/delta, lb/s), PR
speed_pct,We_lbps,PR
50,0.14708,1.22621
50,0.18367,1.22478
50,0.23696,1.20752
50,0.26399,1.19014
50,0.30612,1.13940
50,0.33153,1.07904
60,0.16943,1.33612
60,0.19090,1.33622
60,0.24261,1.33009
60,0.28078,1.31435
60,0.31894,1.28588
60,0.34676,1.25417
60,0.37615,1.19860
60,0.39839,1.13664
70,0.23872,1.46376
70,0.28405,1.45601
70,0.32621,1.45143
70,0.35881,1.42611
70,0.39616,1.38013
70,0.42158,1.32772
70,0.44858,1.25941
80,0.28177,1.61992
80,0.30325,1.61843
80,0.34779,1.61545
80,0.38358,1.59811
80,0.41538,1.56960
80,0.44876,1.52997
80,0.47736,1.47758
80,0.50198,1.40925
80,0.52815,1.29797
90,0.35270,1.81123
90,0.36781,1.81130
90,0.41235,1.80832
90,0.46881,1.76879
90,0.50139,1.72755
90,0.52761,1.67993
90,0.55302,1.61320
90,0.58238,1.50193
100,0.44193,2.02649
100,0.46658,2.01705
100,0.50793,1.99018
100,0.53575,1.96644
100,0.56834,1.92521
100,0.58901,1.90302
100,0.62078,1.83950
100,0.64854,1.71708
100,0.67150,1.55485
