# Turbine equivalent mass flow map, argon rig. NASA TN D-5090 (1969) Figure 8.
# Source: user MANUAL WebPlotDigitizer reads (data/manual_digitize/), 2026-06-16 -
#   geometric marker-center digitization, axis-calibrated to the figure gridlines.
#   Supersedes the earlier Claude pixel reads (had a systematic flow-axis scale error);
#   regenerate via scripts/ingest_manual_digitize.py. Design dots used as axis sanity checks.
# Wc_lbps = eps*W*sqrt(theta_cr)/delta; PR_ts = inlet-total/exit-static.
# speed_pct, PR_ts, Wc_lbps
speed_pct,PR_ts,Wc_lbps
30,1.46045,0.49822
30,1.54530,0.51855
30,1.63545,0.53525
30,1.73992,0.54959
30,1.81417,0.55716
30,2.01038,0.57096
50,1.44614,0.48420
50,1.53735,0.50834
50,1.62538,0.52760
50,1.71129,0.54111
50,1.79030,0.55123
50,1.98015,0.56781
70,1.44826,0.45909
70,1.52833,0.48410
70,1.61689,0.50740
70,1.70015,0.52432
70,1.78076,0.53698
70,1.94621,0.55678
90,1.44508,0.42377
90,1.52303,0.45219
90,1.60682,0.47911
90,1.69167,0.49879
90,1.77280,0.51508
90,1.94515,0.54061
100,1.44189,0.39782
100,1.55644,0.44683
100,1.61159,0.46485
100,1.69379,0.48517
100,1.77758,0.50273
100,1.94674,0.52976
110,1.53364,0.40197
110,1.61636,0.44293
110,1.69485,0.46858
110,1.77705,0.48678
110,1.94250,0.51551
